canonical_keyword,suggested_title,category,variant_count,signal_strength,cluster_size,all_variants,merged_from
How to see older sprints in Jira,How to see older sprints in Jira,howto,2,low,2,how to see older sprints in jira | how to view older sprints in jira,How to see older sprints in Jira | How to view older sprints in Jira
How to get started with Jira mcp,How to get started with Jira mcp,howto,2,low,2,how to get started with jira mcp | how to get started with jira mcp server,How to get started with Jira mcp | How to get started with Jira mcp server
How to create bug in Jira story,How to create bug in Jira story,howto,2,low,2,how to create bug in jira story | how to create a bug under a story in jira,How to create bug in Jira story | How to create a bug under a story in Jira
How to move multiple subtasks in Jira,How to move multiple subtasks in Jira,howto,2,low,2,how to move multiple subtasks in jira | how to move a subtask in jira,How to move multiple subtasks in Jira | How to move a subtask in Jira
How to import stories into Jira,How to import stories into Jira,howto,2,low,2,how to import stories into jira | how to bulk upload stories in jira,How to import stories into Jira | How to bulk upload stories in Jira
How to change work type in Jira,How to change work type in Jira,howto,2,low,2,how to change work type in jira | how to change work type hierarchy in jira,How to change work type in Jira | How to change work type hierarchy in Jira
How to add test cases to test execution in Jira,How to add test cases to test execution in Jira,howto,2,low,2,how to add test cases to test execution in jira | how to add test execution in jira,How to add test cases to test execution in Jira | How to add test execution in Jira
How to manage sprints in Jira,How to manage sprints in Jira,howto,2,low,2,how to manage sprints in jira | how to organize sprints in jira,How to manage sprints in Jira | How to organize sprints in Jira
How to use labels in Jira,How to use labels in Jira,howto,2,low,2,how to use labels in jira | how to tag in jira,How to use labels in Jira | How to tag in Jira
How to log hours in Jira,How to log hours in Jira,howto,2,low,2,how to log hours in jira | how to track story points in jira,How to log hours in Jira | How to track story points in Jira
How to calculate story points in Jira,How to calculate story points in Jira,howto,2,low,2,how to calculate story points in jira | how to calculate time spent in jira,How to calculate story points in Jira | How to calculate time spent in Jira
How to change bug to story in Jira,How to change bug to story in Jira,howto,2,low,2,how to change bug to story in jira | how to change story to bug in jira,How to change bug to story in Jira | How to change story to bug in Jira
How to enable dark mode in Jira,How to enable dark mode in Jira,howto,2,low,2,how to enable dark mode in jira | how to turn on dark mode in jira,How to enable dark mode in Jira | How to turn on dark mode in Jira
How to use planning poker in Jira,How to use planning poker in Jira,howto,2,low,2,how to use planning poker in jira | how to do planning poker in jira,How to use planning poker in Jira | How to do planning poker in Jira
How to download burndown chart from Jira,How to download burndown chart from Jira,howto,2,low,2,how to download burndown chart from jira | how to export burndown chart in jira,How to download burndown chart from Jira | How to export burndown chart in Jira
How to delete a Jira ticket you created,How to delete a Jira ticket you created,howto,2,low,2,how to delete a jira ticket you created | how to delete jira ticket created,How to delete a Jira ticket you created | How to delete Jira ticket created
How to export user stories from Jira,How to export user stories from Jira,howto,2,low,2,how to export user stories from jira | how to download user stories from jira,How to export user stories from Jira | How to download user stories from Jira
How to write test cases in Jira zephyr,How to write test cases in Jira zephyr,howto,2,low,2,how to write test cases in jira zephyr | how to create test cases in jira zephyr,How to write test cases in Jira zephyr | How to create test cases in Jira zephyr
How to view Jira workflow diagram,How to view Jira workflow diagram,howto,2,low,2,how to view jira workflow diagram | how to read cumulative flow diagram jira,How to view Jira workflow diagram | How to read cumulative flow diagram Jira
How to bulk change status in Jira,How to bulk change status in Jira,howto,2,low,2,how to bulk change status in jira | how to bulk update status in jira,How to bulk change status in Jira | How to bulk update status in Jira
How to edit logged time in Jira,How to edit logged time in Jira,howto,2,low,2,how to edit logged time in jira | how to change logged time in jira,How to edit logged time in Jira | How to change logged time in Jira
How to link a Jira to another Jira,How to link a Jira to another Jira,howto,2,low,2,how to link a jira to another jira | how to link one jira to another,How to link a Jira to another Jira | How to link one Jira to another
How to add multiple assignees in Jira,How to add multiple assignees in Jira,howto,2,low,2,how to add multiple assignees in jira | how to add 2 assignees in jira,How to add multiple assignees in Jira | How to add 2 assignees in Jira
How to display Jira issues in confluence,How to display Jira issues in confluence,howto,2,low,2,how to display jira issues in confluence | how to add jira ticket to confluence page,How to display Jira issues in confluence | How to add Jira ticket to confluence page
How to change bug to task in Jira,How to change bug to task in Jira,howto,2,low,2,how to change bug to task in jira | how to change task to bug in jira,How to change bug to task in Jira | How to change task to bug in Jira
How to use external data in Jira custom fields?,How to use external data in Jira custom fields?,howto,2,low,2,how to use external data in jira custom fields? | how to use external data for jira fields?,How to use external data in Jira custom fields? | How to use external data for Jira fields?
How to create issue in Jira using rest api,How to create issue in Jira using rest api,howto,2,low,2,how to create issue in jira using rest api | how to create jira ticket using rest api,How to create issue in Jira using rest api | How to create Jira ticket using rest api
How to add backlog to Jira project,How to add backlog to Jira project,howto,2,low,2,how to add backlog to jira project | how to add a backlog to a jira project,How to add backlog to Jira project | How to add a backlog to a Jira project
How to find Jira administrator,How to find Jira administrator,howto,2,low,2,how to find jira administrator | how to find out who is jira admin,How to find Jira administrator | How to find out who is Jira admin
How to share Jira dashboard with other users,How to share Jira dashboard with other users,howto,2,low,2,how to share jira dashboard with other users | how to share jira dashboard with single user,How to share Jira dashboard with other users | How to share Jira dashboard with single user
How to delete multiple test cases in Jira,How to delete multiple test cases in Jira,howto,2,low,2,how to delete multiple test cases in jira | how to delete test cases in jira zephyr,How to delete multiple test cases in Jira | How to delete test cases in Jira zephyr
How to bulk archive issues in Jira,How to bulk archive issues in Jira,howto,2,low,2,how to bulk archive issues in jira | how to bulk close issues in jira,How to bulk archive issues in Jira | How to bulk close issues in Jira
How to view next sprint in Jira,How to view next sprint in Jira,howto,2,low,2,how to view next sprint in jira | how to see next sprint in jira,How to view next sprint in Jira | How to see next sprint in Jira
How to change filter in Jira dashboard,How to change filter in Jira dashboard,howto,2,low,2,how to change filter in jira dashboard | how to edit jira dashboard filters,How to change filter in Jira dashboard | How to edit Jira dashboard filters
